timestamp,chat_id,message,intent,status,reply
2026-04-21T16:11:08,5793559890.0,tes,cek_coverage,TO_CS,Untuk cek ketersediaan jaringan mohon kirim nama daerah lengkap atau share lokasi (pin point) ya kak 😊
2026-04-21T16:09:11,5793559890.0,tes,cek_coverage,TO_CS,Untuk cek ketersediaan jaringan mohon kirim nama daerah lengkap atau share lokasi (pin point) ya kak 😊
2026-04-21T16:05:59,5793559890.0,hai,greeting,AUTO_RESPONSE,"Selamat sore! Hai! Silakan bertanya ya kak!, saya siap bantu."
2026-04-21T16:05:56,5793559890.0,hai,greeting,AUTO_RESPONSE,"Selamat sore! Hai! Silakan bertanya ya kak!, saya siap bantu."
2026-04-21T15:56:23,5793559890.0,tes,cek_coverage,TO_CS,Untuk cek ketersediaan jaringan mohon kirim nama daerah lengkap atau share lokasi (pin point) ya kak 😊
2026-04-21T15:55:44,5793559890.0,halo,greeting,TO_CS,Selamat sore! Halo kak! Ada yang bisa saya bantu?
2026-04-21T15:55:37,5793559890.0,halo,greeting,TO_CS,Selamat sore! Halo kak! Ada yang bisa saya bantu?
2026-04-21T15:14:15,5793559890.0,b,fallback,TO_CS,"Sepertinya pertanyaannya di luar daftar yang saya pahami kak. Coba gunakan kata kunci seperti info paket, gangguan layanan, pembayaran, atau kabel putus ya kak."
2026-04-21T15:14:12,5793559890.0,__IDENTITY__:b,provide_identity,TO_CS,Identitas b berhasil diterima.
2026-04-21T15:14:04,5793559890.0,internet saya mati kak,gangguan_umum,TO_CS,"Mohon maaf atas ketidaknyamanannya kak, boleh kirim foto lampu modem/ONT sekarang? Nanti kami bantu cek dari sistem."
2026-04-21T15:13:58,5793559890.0,internet,fallback,TO_CS,"Maaf kak, saya belum paham maksud pertanyaan kakak. Bisa dijelaskan lagi dengan kata lain?"
2026-04-21T15:13:53,5793559890.0,internet,fallback,TO_CS,"Maaf kak, saya belum paham maksud pertanyaan kakak. Bisa dijelaskan lagi dengan kata lain?"
2026-04-21T15:13:49,5793559890.0,__LOCATION__:internet,provide_location,TO_CS,Lokasi berhasil dipetakan.
2026-04-21T15:13:40,5793559890.0,i,cek_coverage,TO_CS,Untuk cek ketersediaan jaringan mohon kirim nama daerah lengkap atau share lokasi (pin point) ya kak 😊
2026-04-21T15:13:38,5793559890.0,__LOCATION__:i,provide_location,TO_CS,Lokasi berhasil dipetakan.
2026-04-21T15:13:30,5793559890.0,i,cek_coverage,TO_CS,Untuk cek ketersediaan jaringan mohon kirim nama daerah lengkap atau share lokasi (pin point) ya kak 😊
2026-04-21T14:58:38,5793559890.0,internet,gangguan_lemot_umum,TO_CS,"Maaf kak, bisa dijelaskan lebih detail kendala yang dialami? 🙏
- Untuk akses apa ya kak? (misal YouTube, TikTok, game, Zoom, dsb)
- Sejak jam berapa terasa lemot?

Kalau boleh, silakan kirim screenshot atau foto kendalanya ya kak 😊"
2026-04-21T14:58:36,5793559890.0,__IDENTITY__:internet,provide_identity,TO_CS,Identitas internet berhasil diterima.
2026-04-21T14:57:13,5793559890.0,internet kamu bagus,gangguan_umum,TO_CS,"Mohon maaf atas ketidaknyamanannya kak, boleh kirim foto lampu modem/ONT sekarang? Nanti kami bantu cek dari sistem."
2026-04-21T14:57:01,5793559890.0,internet,gangguan_lemot_umum,TO_CS,"Maaf kak, bisa dijelaskan lebih detail kendala yang dialami? 🙏
- Untuk akses apa ya kak? (misal YouTube, TikTok, game, Zoom, dsb)
- Sejak jam berapa terasa lemot?

Kalau boleh, silakan kirim screenshot atau foto kendalanya ya kak 😊"
2026-04-21T14:56:55,5793559890.0,halo,greeting,TO_CS,Selamat siang! Halo kak! Ada yang bisa saya bantu?
2026-04-21T14:56:50,5793559890.0,twa,fallback,TO_CS,"Maaf kak, saya belum paham maksud pertanyaan kakak. Bisa dijelaskan lagi dengan kata lain?"
2026-04-21T14:56:46,5793559890.0,__LOCATION__:tez,provide_location,TO_CS,Lokasi berhasil dipetakan.
2026-04-21T14:56:40,5793559890.0,tes,cek_coverage,TO_CS,Untuk cek ketersediaan jaringan mohon kirim nama daerah lengkap atau share lokasi (pin point) ya kak 😊
2026-04-21T14:54:32,5793559890.0,__IDENTITY__:j,provide_identity,TO_CS,Identitas j berhasil diterima.
2026-04-21T14:47:08,5793559890.0,internet,gangguan_umum,TO_CS,"Mohon maaf atas ketidaknyamanannya kak, boleh kirim foto lampu modem/ONT sekarang? Nanti kami bantu cek dari sistem."
2026-04-21T14:47:04,5793559890.0,__IDENTITY__:j,provide_identity,TO_CS,Identitas j berhasil diterima.
